county	years	pop
	1981	"686,800"
	1982	"695,200"
	1983	"704,200"
	1984	"713,000"
	1985	"727,500"
	1986	"737,500"
	1987	"735,900"
	1988	"730,100"
	1989	"724,500"
	1990	"723,200"
San Joaquin	1980	"350,200"
	1981	"362,000"
	1982	"374,100"
	1983	"386,700"
	1984	"399,800"
	1985	"417,200"
	1986	"433,700"
	1987	"448,800"
	1988	"461,400"
	1989	"471,500"
	1990	"481,900"
San Luis Obispo	1980	"156,600"
	1981	"161,800"
	1982	"166,200"
	1983	"170,800"
	1984	"176,700"
	1985	"184,200"
	1986	"190,700"
	1987	"197,100"
	1988	"201,400"
	1989	"210,500"
	1990	"217,800"
San Mateo	1980	"588,100"
	1981	"591,000"
	1982	"594,500"
	1983	"604,500"
	1984	"611,200"
	1985	"617,300"
	1986	"619,400"
	1987	"625,700"
	1988	"633,700"
	1989	"642,600"
	1990	"648,200"
Santa Barbara	1980	"300,000"
	1981	"306,100"
	1982	"313,500"
	1983	"322,800"
	1984	"329,200"
	1985	"338,200"
	1986	"345,100"
	1987	"351,200"
	1988	"354,600"
	1989	"364,700"
	1990	"369,000"
Santa Clara	1980	"1,300,200"
	1981	"1,322,400"
	1982	"1,341,600"
	1983	"1,369,000"
	1984	"1,389,100"
	1985	"1,410,500"
	1986	"1,419,600"
	1987	"1,433,800"
	1988	"1,456,600"
	1989	"1,485,400"
	1990	"1,495,300"
Santa Cruz	1980	"189,100"
	1981	"193,000"
	1982	"196,100"
	1983	"200,100"
	1984	"203,400"
	1985	"208,500"
	1986	"212,900"
	1987	"217,200"
	1988	"221,000"
	1989	"227,700"
	1990	"229,300"
Shasta	1980	"116,600"
	1981	"120,500"
	1982	"121,800"
	1983	"123,200"
	1984	"125,800"
	1985	"129,100"
	1986	"131,200"
	1987	"134,200"
	1988	"138,200"
	1989	"141,800"
	1990	"148,000"
Sierra	1980	"3,100"
	1981	"3,100"
	1982	"3,200"
	1983	"3,200"
	1984	"3,200"
	1985	"3,200"
	1986	"3,200"
	1987	"3,200"
	1988	"3,300"
	1989	"3,200"
	1990	"3,320"
Siskiyou	1980	"40,000"
	1981	"40,700"
	1982	"41,200"
	1983	"41,100"
	1984	"41,200"
	1985	"41,500"
	1986	"41,100"
	1987	"41,300"
	1988	"42,000"
	1989	"42,800"
	1990	"43,650"
Solano	1980	"237,200"
	1981	"246,100"
	1982	"255,000"
	1983	"261,600"
	1984	"265,600"
	1985	"273,300"
	1986	"284,800"
	1987	"297,800"
	1988	"310,400"
	1989	"325,200"
	1990	"342,500"
Sonoma	1980	"301,400"
	1981	"308,700"
	1982	"314,300"
	1983	"320,800"
	1984	"325,600"
	1985	"333,600"
	1986	"343,500"
	1987	"353,800"
	1988	"365,500"
	1989	"377,200"
	1990	"389,500"
Stanislaus	1980	"267,700"
	1981	"275,500"
	1982	"281,100"
	1983	"289,100"
	1984	"294,500"
	1985	"302,000"
	1986	"312,600"
	1987	"325,200"
	1988	"338,300"
	1989	"354,200"
	1990	"373,600"
Sutter	1980	"52,600"
	1981	"53,900"
	1982	"55,300"
	1983	"56,900"
	1984	"56,800"
	1985	"57,800"
	1986	"58,600"
	1987	"59,900"
	1988	"61,200"
	1989	"62,400"
	1990	"64,800"
Tehama	1980	"39,100"
	1981	"40,200"
	1982	"41,200"
	1983	"42,100"
	1984	"43,000"
	1985	"44,000"
	1986	"44,600"
	1987	"45,700"
	1988	"46,900"
	1989	"48,000"
	1990	"49,850"
Trinity	1980	"12,000"
	1981	"12,300"
	1982	"12,300"
	1983	"12,400"
	1984	"12,600"
	1985	"12,800"
	1986	"12,700"
	1987	"12,600"
	1988	"13,000"
	1989	"13,000"
	1990	"13,000"
Tulare	1980	"247,400"
	1981	"254,000"
	1982	"260,200"
	1983	"267,600"
	1984	"273,800"
	1985	"280,600"
	1986	"286,600"
	1987	"292,700"
	1988	"299,200"
	1989	"304,000"
	1990	"313,100"
Tuolumne	1980	"34,200"
	1981	"35,300"
	1982	"36,300"
	1983	"37,300"
	1984	"38,100"
	1985	"39,900"
	1986	"41,700"
	1987	"43,900"
	1988	"45,400"
	1989	"47,000"
	1990	"48,700"
Ventura	1980	"532,200"
	1981	"544,900"
	1982	"559,500"
	1983	"572,100"
	1984	"584,200"
	1985	"596,900"
	1986	"611,200"
	1987	"627,000"
	1988	"645,000"
	1989	"662,000"
	1990	"669,100"
Yolo	1980	"113,900"
	1981	"115,000"
	1982	"117,600"
	1983	"119,000"
	1984	"120,300"
	1985	"123,500"
	1986	"125,000"
	1987	"128,200"
	1988	"132,900"
	1989	"137,100"
	1990	"141,800"
Yuba	1980	"49,800"
	1981	"49,900"
	1982	"51,100"
	1983	"51,700"
	1984	"52,300"
	1985	"53,100"
	1986	"53,600"
	1987	"54,600"
	1988	"55,800"
	1989	"56,700"
	1990	"58,600"
